Date,Time,ST,GS,Check,Weight,Unit,Pump-Status,Voltage (V),Current (A),Power (W),Energy (Wh),Operation Time,Flow (L/min),Frequency (Hz),Total Flow (L),Intake Air Temperature (°C),Intake Air Velocity,Intake Air Humidity (%),Outtake Air Temperature (°C),Outtake Air Velocity,Outtake Air Humidity (% )
2026-03-24,14:25:38,ST,GS,+,2.9715,kg,0,118.1,0.667,78.8,2.024,00:00:23,0.797,37.2,0.3352,26.6,1.04 m/s,31.2,23.8,1.84 m/s,51.4
2026-03-24,14:25:39,ST,GS,+,2.9715,kg,0,118.1,0.667,78.8,2.024,00:00:24,0.797,37.2,0.3352,26.6,1.04 m/s,31.2,23.8,1.84 m/s,51.4
2026-03-24,14:25:40,ST,GS,+,2.9715,kg,0,118.1,0.667,78.8,2.024,00:00:25,0.797,37.2,0.3352,26.6,1.04 m/s,31.2,23.8,1.84 m/s,51.4
2026-03-24,14:25:41,ST,GS,+,2.9715,kg,0,118.1,0.667,78.8,2.024,00:00:26,0.797,37.2,0.3352,26.6,1.04 m/s,31.2,23.8,1.84 m/s,51.4
2026-03-24,14:25:42,ST,GS,+,2.9715,kg,0,118.1,0.667,78.8,2.024,00:00:27,0.797,37.2,0.3352,26.6,1.04 m/s,31.2,23.8,1.84 m/s,51.4
2026-03-24,14:25:43,ST,GS,+,2.9715,kg,0,118.1,0.667,78.8,2.024,00:00:28,0.797,37.2,0.3352,26.6,1.04 m/s,31.2,23.8,1.84 m/s,51.4
2026-03-24,14:25:44,ST,GS,+,2.9715,kg,0,118.1,0.667,78.8,2.024,00:00:29,0.797,37.2,0.3352,26.6,1.04 m/s,31.2,23.8,1.84 m/s,51.4
2026-03-24,14:25:45,ST,GS,+,3.7025,kg,0,121.0,1.987,240.4,2.692,00:00:30,1.229,57.4,0.54,23.3,0.64 m/s,43.4,19.3,1.76 m/s,31.1
2026-03-24,14:25:46,ST,GS,+,3.7025,kg,0,121.0,1.987,240.4,2.692,00:00:31,1.229,57.4,0.54,23.3,0.64 m/s,43.4,19.3,1.76 m/s,31.1
2026-03-24,14:25:47,ST,GS,+,3.7025,kg,0,121.0,1.987,240.4,2.692,00:00:32,1.229,57.4,0.54,23.3,0.64 m/s,43.4,19.3,1.76 m/s,31.1
2026-03-24,14:25:48,ST,GS,+,3.7025,kg,0,121.0,1.987,240.4,2.692,00:00:33,1.229,57.4,0.54,23.3,0.64 m/s,43.4,19.3,1.76 m/s,31.1
2026-03-24,14:25:49,ST,GS,+,3.7025,kg,0,121.0,1.987,240.4,2.692,00:00:34,1.229,57.4,0.54,23.3,0.64 m/s,43.4,19.3,1.76 m/s,31.1
2026-03-24,14:25:50,ST,GS,+,3.7025,kg,0,121.0,1.987,240.4,2.692,00:00:35,1.229,57.4,0.54,23.3,0.64 m/s,43.4,19.3,1.76 m/s,31.1
2026-03-24,14:25:51,ST,GS,+,3.7025,kg,0,121.0,1.987,240.4,2.692,00:00:36,1.229,57.4,0.54,23.3,0.64 m/s,43.4,19.3,1.76 m/s,31.1
2026-03-24,14:25:52,ST,GS,+,3.7025,kg,0,121.0,1.987,240.4,2.692,00:00:37,1.229,57.4,0.54,23.3,0.64 m/s,43.4,19.3,1.76 m/s,31.1
2026-03-24,14:25:53,ST,GS,+,3.7025,kg,0,121.0,1.987,240.4,2.692,00:00:38,1.229,57.4,0.54,23.3,0.64 m/s,43.4,19.3,1.76 m/s,31.1
2026-03-24,14:25:54,ST,GS,+,3.7025,kg,0,121.0,1.987,240.4,2.692,00:00:39,1.229,57.4,0.54,23.3,0.64 m/s,43.4,19.3,1.76 m/s,31.1
2026-03-24,14:25:55,ST,GS,+,3.8897,kg,0,121.0,0.835,101.0,2.973,00:00:40,2.168,101.2,0.9013,34.5,0.95 m/s,43.5,21.1,2.07 m/s,30.3
2026-03-24,14:25:56,ST,GS,+,3.8897,kg,0,121.0,0.835,101.0,2.973,00:00:41,2.168,101.2,0.9013,34.5,0.95 m/s,43.5,21.1,2.07 m/s,30.3
2026-03-24,14:25:57,ST,GS,+,3.8897,kg,0,121.0,0.835,101.0,2.973,00:00:42,2.168,101.2,0.9013,34.5,0.95 m/s,43.5,21.1,2.07 m/s,30.3
2026-03-24,14:25:58,ST,GS,+,3.8897,kg,0,121.0,0.835,101.0,2.973,00:00:43,2.168,101.2,0.9013,34.5,0.95 m/s,43.5,21.1,2.07 m/s,30.3
2026-03-24,14:25:59,ST,GS,+,3.8897,kg,0,121.0,0.835,101.0,2.973,00:00:44,2.168,101.2,0.9013,34.5,0.95 m/s,43.5,21.1,2.07 m/s,30.3
2026-03-24,14:26:00,ST,GS,+,3.8897,kg,0,121.0,0.835,101.0,2.973,00:00:45,2.168,101.2,0.9013,34.5,0.95 m/s,43.5,21.1,2.07 m/s,30.3
2026-03-24,14:26:01,ST,GS,+,3.8897,kg,0,121.0,0.835,101.0,2.973,00:00:46,2.168,101.2,0.9013,34.5,0.95 m/s,43.5,21.1,2.07 m/s,30.3
2026-03-24,14:26:02,ST,GS,+,3.8897,kg,0,121.0,0.835,101.0,2.973,00:00:47,2.168,101.2,0.9013,34.5,0.95 m/s,43.5,21.1,2.07 m/s,30.3
2026-03-24,14:26:03,ST,GS,+,3.8897,kg,0,121.0,0.835,101.0,2.973,00:00:48,2.168,101.2,0.9013,34.5,0.95 m/s,43.5,21.1,2.07 m/s,30.3
2026-03-24,14:26:04,ST,GS,+,3.8897,kg,0,121.0,0.835,101.0,2.973,00:00:49,2.168,101.2,0.9013,34.5,0.95 m/s,43.5,21.1,2.07 m/s,30.3
2026-03-24,14:26:05,ST,GS,+,4.2936,kg,0,118.8,2.17,257.8,3.689,00:00:50,1.056,49.3,1.0773,32.7,0.57 m/s,44.0,27.7,0.32 m/s,45.9
2026-03-24,14:26:06,ST,GS,+,4.2936,kg,0,118.8,2.17,257.8,3.689,00:00:51,1.056,49.3,1.0773,32.7,0.57 m/s,44.0,27.7,0.32 m/s,45.9
2026-03-24,14:26:07,ST,GS,+,4.2936,kg,0,118.8,2.17,257.8,3.689,00:00:52,1.056,49.3,1.0773,32.7,0.57 m/s,44.0,27.7,0.32 m/s,45.9
2026-03-24,14:26:08,ST,GS,+,4.2936,kg,0,118.8,2.17,257.8,3.689,00:00:53,1.056,49.3,1.0773,32.7,0.57 m/s,44.0,27.7,0.32 m/s,45.9
2026-03-24,14:26:09,ST,GS,+,4.2936,kg,0,118.8,2.17,257.8,3.689,00:00:54,1.056,49.3,1.0773,32.7,0.57 m/s,44.0,27.7,0.32 m/s,45.9
2026-03-24,14:26:10,ST,GS,+,4.2936,kg,0,118.8,2.17,257.8,3.689,00:00:55,1.056,49.3,1.0773,32.7,0.57 m/s,44.0,27.7,0.32 m/s,45.9
2026-03-24,14:26:11,ST,GS,+,4.2936,kg,0,118.8,2.17,257.8,3.689,00:00:56,1.056,49.3,1.0773,32.7,0.57 m/s,44.0,27.7,0.32 m/s,45.9
2026-03-24,14:26:12,ST,GS,+,4.2936,kg,0,118.8,2.17,257.8,3.689,00:00:57,1.056,49.3,1.0773,32.7,0.57 m/s,44.0,27.7,0.32 m/s,45.9
2026-03-24,14:26:13,ST,GS,+,4.2936,kg,0,118.8,2.17,257.8,3.689,00:00:58,1.056,49.3,1.0773,32.7,0.57 m/s,44.0,27.7,0.32 m/s,45.9
2026-03-24,14:26:14,ST,GS,+,4.2936,kg,0,118.8,2.17,257.8,3.689,00:00:59,1.056,49.3,1.0773,32.7,0.57 m/s,44.0,27.7,0.32 m/s,45.9
2026-03-24,14:26:15,ST,GS,+,5.1609,kg,0,120.0,2.312,277.4,4.459,00:01:00,2.374,110.9,1.473,32.2,1.83 m/s,30.3,21.0,1.14 m/s,46.4
2026-03-24,14:26:17,ST,GS,+,5.1609,kg,0,120.0,2.312,277.4,4.459,00:01:01,2.374,110.9,1.473,32.2,1.83 m/s,30.3,21.0,1.14 m/s,46.4
2026-03-24,14:26:18,ST,GS,+,5.1609,kg,0,120.0,2.312,277.4,4.459,00:01:02,2.374,110.9,1.473,32.2,1.83 m/s,30.3,21.0,1.14 m/s,46.4
2026-03-24,14:26:19,ST,GS,+,5.1609,kg,0,120.0,2.312,277.4,4.459,00:01:03,2.374,110.9,1.473,32.2,1.83 m/s,30.3,21.0,1.14 m/s,46.4
2026-03-24,14:26:20,ST,GS,+,5.1609,kg,0,120.0,2.312,277.4,4.459,00:01:04,2.374,110.9,1.473,32.2,1.83 m/s,30.3,21.0,1.14 m/s,46.4
2026-03-24,14:26:21,ST,GS,+,5.1609,kg,0,120.0,2.312,277.4,4.459,00:01:05,2.374,110.9,1.473,32.2,1.83 m/s,30.3,21.0,1.14 m/s,46.4
2026-03-24,14:26:22,ST,GS,+,5.1609,kg,0,120.0,2.312,277.4,4.459,00:01:06,2.374,110.9,1.473,32.2,1.83 m/s,30.3,21.0,1.14 m/s,46.4
2026-03-24,14:26:23,ST,GS,+,5.1609,kg,0,120.0,2.312,277.4,4.459,00:01:07,2.374,110.9,1.473,32.2,1.83 m/s,30.3,21.0,1.14 m/s,46.4
2026-03-24,14:26:24,ST,GS,+,5.1609,kg,0,120.0,2.312,277.4,4.459,00:01:08,2.374,110.9,1.473,32.2,1.83 m/s,30.3,21.0,1.14 m/s,46.4
2026-03-24,14:26:25,ST,GS,+,5.1609,kg,0,120.0,2.312,277.4,4.459,00:01:09,2.374,110.9,1.473,32.2,1.83 m/s,30.3,21.0,1.14 m/s,46.4
2026-03-24,14:26:26,ST,GS,+,5.948,kg,0,119.5,1.051,125.6,4.808,00:01:10,1.354,63.2,1.6987,30.1,1.13 m/s,26.6,26.9,0.69 m/s,39.4
2026-03-24,14:26:27,ST,GS,+,5.948,kg,0,119.5,1.051,125.6,4.808,00:01:11,1.354,63.2,1.6987,30.1,1.13 m/s,26.6,26.9,0.69 m/s,39.4
2026-03-24,14:26:28,ST,GS,+,5.948,kg,0,119.5,1.051,125.6,4.808,00:01:12,1.354,63.2,1.6987,30.1,1.13 m/s,26.6,26.9,0.69 m/s,39.4
2026-03-24,14:26:29,ST,GS,+,5.948,kg,0,119.5,1.051,125.6,4.808,00:01:13,1.354,63.2,1.6987,30.1,1.13 m/s,26.6,26.9,0.69 m/s,39.4
2026-03-24,14:26:30,ST,GS,+,5.948,kg,0,119.5,1.051,125.6,4.808,00:01:14,1.354,63.2,1.6987,30.1,1.13 m/s,26.6,26.9,0.69 m/s,39.4
2026-03-24,14:26:31,ST,GS,+,5.948,kg,0,119.5,1.051,125.6,4.808,00:01:15,1.354,63.2,1.6987,30.1,1.13 m/s,26.6,26.9,0.69 m/s,39.4
2026-03-24,14:26:32,ST,GS,+,5.948,kg,0,119.5,1.051,125.6,4.808,00:01:16,1.354,63.2,1.6987,30.1,1.13 m/s,26.6,26.9,0.69 m/s,39.4
2026-03-24,14:26:33,ST,GS,+,5.948,kg,0,119.5,1.051,125.6,4.808,00:01:17,1.354,63.2,1.6987,30.1,1.13 m/s,26.6,26.9,0.69 m/s,39.4
2026-03-24,14:26:34,ST,GS,+,5.948,kg,0,119.5,1.051,125.6,4.808,00:01:18,1.354,63.2,1.6987,30.1,1.13 m/s,26.6,26.9,0.69 m/s,39.4
2026-03-24,14:26:35,ST,GS,+,5.948,kg,0,119.5,1.051,125.6,4.808,00:01:19,1.354,63.2,1.6987,30.1,1.13 m/s,26.6,26.9,0.69 m/s,39.4
2026-03-24,14:26:36,ST,GS,+,6.1809,kg,0,120.4,1.812,218.2,5.414,00:01:20,1.285,60.0,1.9128,22.0,0.7 m/s,29.1,20.3,2.07 m/s,40.3
2026-03-24,14:26:37,ST,GS,+,6.1809,kg,0,120.4,1.812,218.2,5.414,00:01:21,1.285,60.0,1.9128,22.0,0.7 m/s,29.1,20.3,2.07 m/s,40.3
2026-03-24,14:26:38,ST,GS,+,6.1809,kg,0,120.4,1.812,218.2,5.414,00:01:22,1.285,60.0,1.9128,22.0,0.7 m/s,29.1,20.3,2.07 m/s,40.3
2026-03-24,14:26:39,ST,GS,+,6.1809,kg,0,120.4,1.812,218.2,5.414,00:01:23,1.285,60.0,1.9128,22.0,0.7 m/s,29.1,20.3,2.07 m/s,40.3
2026-03-24,14:26:40,ST,GS,+,6.1809,kg,0,120.4,1.812,218.2,5.414,00:01:24,1.285,60.0,1.9128,22.0,0.7 m/s,29.1,20.3,2.07 m/s,40.3
2026-03-24,14:26:41,ST,GS,+,6.1809,kg,0,120.4,1.812,218.2,5.414,00:01:25,1.285,60.0,1.9128,22.0,0.7 m/s,29.1,20.3,2.07 m/s,40.3
2026-03-24,14:26:42,ST,GS,+,6.1809,kg,0,120.4,1.812,218.2,5.414,00:01:26,1.285,60.0,1.9128,22.0,0.7 m/s,29.1,20.3,2.07 m/s,40.3
2026-03-24,14:26:43,ST,GS,+,6.1809,kg,0,120.4,1.812,218.2,5.414,00:01:27,1.285,60.0,1.9128,22.0,0.7 m/s,29.1,20.3,2.07 m/s,40.3
2026-03-24,14:26:44,ST,GS,+,6.1809,kg,0,120.4,1.812,218.2,5.414,00:01:28,1.285,60.0,1.9128,22.0,0.7 m/s,29.1,20.3,2.07 m/s,40.3
2026-03-24,14:26:45,ST,GS,+,6.1809,kg,0,120.4,1.812,218.2,5.414,00:01:29,1.285,60.0,1.9128,22.0,0.7 m/s,29.1,20.3,2.07 m/s,40.3
2026-03-24,14:26:46,ST,GS,+,8.0321,kg,0,121.2,2.655,321.8,6.308,00:01:30,2.485,116.0,2.327,31.6,1.14 m/s,39.0,26.9,1.44 m/s,53.8
2026-03-24,14:26:47,ST,GS,+,8.0321,kg,0,121.2,2.655,321.8,6.308,00:01:31,2.485,116.0,2.327,31.6,1.14 m/s,39.0,26.9,1.44 m/s,53.8
2026-03-24,14:26:48,ST,GS,+,8.0321,kg,0,121.2,2.655,321.8,6.308,00:01:32,2.485,116.0,2.327,31.6,1.14 m/s,39.0,26.9,1.44 m/s,53.8
2026-03-24,14:26:49,ST,GS,+,8.0321,kg,0,121.2,2.655,321.8,6.308,00:01:33,2.485,116.0,2.327,31.6,1.14 m/s,39.0,26.9,1.44 m/s,53.8
2026-03-24,14:26:50,ST,GS,+,8.0321,kg,0,121.2,2.655,321.8,6.308,00:01:34,2.485,116.0,2.327,31.6,1.14 m/s,39.0,26.9,1.44 m/s,53.8
2026-03-24,14:26:51,ST,GS,+,8.0321,kg,0,121.2,2.655,321.8,6.308,00:01:35,2.485,116.0,2.327,31.6,1.14 m/s,39.0,26.9,1.44 m/s,53.8
2026-03-24,14:26:52,ST,GS,+,8.0321,kg,0,121.2,2.655,321.8,6.308,00:01:36,2.485,116.0,2.327,31.6,1.14 m/s,39.0,26.9,1.44 m/s,53.8
2026-03-24,14:26:53,ST,GS,+,8.0321,kg,0,121.2,2.655,321.8,6.308,00:01:37,2.485,116.0,2.327,31.6,1.14 m/s,39.0,26.9,1.44 m/s,53.8
2026-03-24,14:26:54,ST,GS,+,8.0321,kg,0,121.2,2.655,321.8,6.308,00:01:38,2.485,116.0,2.327,31.6,1.14 m/s,39.0,26.9,1.44 m/s,53.8
2026-03-24,14:26:55,ST,GS,+,8.0321,kg,0,121.2,2.655,321.8,6.308,00:01:39,2.485,116.0,2.327,31.6,1.14 m/s,39.0,26.9,1.44 m/s,53.8
2026-03-24,14:26:56,ST,GS,+,8.441,kg,0,121.3,2.469,299.5,7.14,00:01:40,0.286,13.4,2.3747,24.8,1.23 m/s,31.7,21.2,0.51 m/s,33.9
2026-03-24,14:26:57,ST,GS,+,8.441,kg,0,121.3,2.469,299.5,7.14,00:01:41,0.286,13.4,2.3747,24.8,1.23 m/s,31.7,21.2,0.51 m/s,33.9
2026-03-24,14:26:58,ST,GS,+,8.441,kg,0,121.3,2.469,299.5,7.14,00:01:42,0.286,13.4,2.3747,24.8,1.23 m/s,31.7,21.2,0.51 m/s,33.9
2026-03-24,14:26:59,ST,GS,+,8.441,kg,0,121.3,2.469,299.5,7.14,00:01:43,0.286,13.4,2.3747,24.8,1.23 m/s,31.7,21.2,0.51 m/s,33.9
2026-03-24,14:27:00,ST,GS,+,8.441,kg,0,121.3,2.469,299.5,7.14,00:01:45,0.286,13.4,2.3747,24.8,1.23 m/s,31.7,21.2,0.51 m/s,33.9
2026-03-24,14:27:01,ST,GS,+,8.441,kg,0,121.3,2.469,299.5,7.14,00:01:46,0.286,13.4,2.3747,24.8,1.23 m/s,31.7,21.2,0.51 m/s,33.9
2026-03-24,14:27:02,ST,GS,+,8.441,kg,0,121.3,2.469,299.5,7.14,00:01:47,0.286,13.4,2.3747,24.8,1.23 m/s,31.7,21.2,0.51 m/s,33.9
2026-03-24,14:27:03,ST,GS,+,8.441,kg,0,121.3,2.469,299.5,7.14,00:01:48,0.286,13.4,2.3747,24.8,1.23 m/s,31.7,21.2,0.51 m/s,33.9
2026-03-24,14:27:04,ST,GS,+,8.441,kg,0,121.3,2.469,299.5,7.14,00:01:49,0.286,13.4,2.3747,24.8,1.23 m/s,31.7,21.2,0.51 m/s,33.9
2026-03-24,14:27:05,ST,GS,+,8.441,kg,0,121.3,2.469,299.5,7.14,00:01:50,0.286,13.4,2.3747,24.8,1.23 m/s,31.7,21.2,0.51 m/s,33.9
2026-03-24,14:27:06,ST,GS,+,9.245,kg,0,120.6,2.318,279.6,7.917,00:01:51,2.045,95.5,2.7155,29.0,1.14 m/s,37.5,23.2,1.86 m/s,32.0
2026-03-24,14:27:07,ST,GS,+,9.245,kg,0,120.6,2.318,279.6,7.917,00:01:52,2.045,95.5,2.7155,29.0,1.14 m/s,37.5,23.2,1.86 m/s,32.0
2026-03-24,14:27:08,ST,GS,+,9.245,kg,0,120.6,2.318,279.6,7.917,00:01:53,2.045,95.5,2.7155,29.0,1.14 m/s,37.5,23.2,1.86 m/s,32.0
2026-03-24,14:27:09,ST,GS,+,9.245,kg,0,120.6,2.318,279.6,7.917,00:01:54,2.045,95.5,2.7155,29.0,1.14 m/s,37.5,23.2,1.86 m/s,32.0
2026-03-24,14:27:10,ST,GS,+,9.245,kg,0,120.6,2.318,279.6,7.917,00:01:55,2.045,95.5,2.7155,29.0,1.14 m/s,37.5,23.2,1.86 m/s,32.0
2026-03-24,14:27:11,ST,GS,+,9.245,kg,0,120.6,2.318,279.6,7.917,00:01:56,2.045,95.5,2.7155,29.0,1.14 m/s,37.5,23.2,1.86 m/s,32.0
2026-03-24,14:27:12,ST,GS,+,9.245,kg,0,120.6,2.318,279.6,7.917,00:01:57,2.045,95.5,2.7155,29.0,1.14 m/s,37.5,23.2,1.86 m/s,32.0
2026-03-24,14:27:13,ST,GS,+,9.245,kg,0,120.6,2.318,279.6,7.917,00:01:58,2.045,95.5,2.7155,29.0,1.14 m/s,37.5,23.2,1.86 m/s,32.0
2026-03-24,14:27:14,ST,GS,+,9.245,kg,0,120.6,2.318,279.6,7.917,00:01:59,2.045,95.5,2.7155,29.0,1.14 m/s,37.5,23.2,1.86 m/s,32.0
2026-03-24,14:27:15,ST,GS,+,9.5238,kg,0,118.4,1.015,120.2,8.251,00:02:00,0.992,46.3,2.8808,22.4,2.46 m/s,28.3,21.9,1.61 m/s,50.1
2026-03-24,14:27:16,ST,GS,+,9.5238,kg,0,118.4,1.015,120.2,8.251,00:02:01,0.992,46.3,2.8808,22.4,2.46 m/s,28.3,21.9,1.61 m/s,50.1
2026-03-24,14:27:17,ST,GS,+,9.5238,kg,0,118.4,1.015,120.2,8.251,00:02:02,0.992,46.3,2.8808,22.4,2.46 m/s,28.3,21.9,1.61 m/s,50.1
2026-03-24,14:27:18,ST,GS,+,9.5238,kg,0,118.4,1.015,120.2,8.251,00:02:03,0.992,46.3,2.8808,22.4,2.46 m/s,28.3,21.9,1.61 m/s,50.1
2026-03-24,14:27:19,ST,GS,+,9.5238,kg,0,118.4,1.015,120.2,8.251,00:02:04,0.992,46.3,2.8808,22.4,2.46 m/s,28.3,21.9,1.61 m/s,50.1
2026-03-24,14:27:20,ST,GS,+,9.5238,kg,0,118.4,1.015,120.2,8.251,00:02:05,0.992,46.3,2.8808,22.4,2.46 m/s,28.3,21.9,1.61 m/s,50.1
2026-03-24,14:27:21,ST,GS,+,9.5238,kg,0,118.4,1.015,120.2,8.251,00:02:06,0.992,46.3,2.8808,22.4,2.46 m/s,28.3,21.9,1.61 m/s,50.1
2026-03-24,14:27:22,ST,GS,+,9.5238,kg,0,118.4,1.015,120.2,8.251,00:02:07,0.992,46.3,2.8808,22.4,2.46 m/s,28.3,21.9,1.61 m/s,50.1
2026-03-24,14:27:23,ST,GS,+,9.5238,kg,0,118.4,1.015,120.2,8.251,00:02:08,0.992,46.3,2.8808,22.4,2.46 m/s,28.3,21.9,1.61 m/s,50.1
2026-03-24,14:27:24,ST,GS,+,9.5238,kg,0,118.4,1.015,120.2,8.251,00:02:09,0.992,46.3,2.8808,22.4,2.46 m/s,28.3,21.9,1.61 m/s,50.1
2026-03-24,14:27:25,ST,GS,+,10.7633,kg,0,121.7,0.955,116.2,8.574,00:02:10,1.712,80.0,3.1662,21.8,0.65 m/s,36.4,26.0,1.58 m/s,30.2
2026-03-24,14:27:26,ST,GS,+,10.7633,kg,0,121.7,0.955,116.2,8.574,00:02:11,1.712,80.0,3.1662,21.8,0.65 m/s,36.4,26.0,1.58 m/s,30.2
2026-03-24,14:27:27,ST,GS,+,10.7633,kg,0,121.7,0.955,116.2,8.574,00:02:12,1.712,80.0,3.1662,21.8,0.65 m/s,36.4,26.0,1.58 m/s,30.2
2026-03-24,14:27:28,ST,GS,+,10.7633,kg,0,121.7,0.955,116.2,8.574,00:02:13,1.712,80.0,3.1662,21.8,0.65 m/s,36.4,26.0,1.58 m/s,30.2
2026-03-24,14:27:29,ST,GS,+,10.7633,kg,0,121.7,0.955,116.2,8.574,00:02:14,1.712,80.0,3.1662,21.8,0.65 m/s,36.4,26.0,1.58 m/s,30.2
2026-03-24,14:27:30,ST,GS,+,10.7633,kg,0,121.7,0.955,116.2,8.574,00:02:15,1.712,80.0,3.1662,21.8,0.65 m/s,36.4,26.0,1.58 m/s,30.2
2026-03-24,14:27:31,ST,GS,+,10.7633,kg,0,121.7,0.955,116.2,8.574,00:02:16,1.712,80.0,3.1662,21.8,0.65 m/s,36.4,26.0,1.58 m/s,30.2
2026-03-24,14:27:32,ST,GS,+,10.7633,kg,0,121.7,0.955,116.2,8.574,00:02:17,1.712,80.0,3.1662,21.8,0.65 m/s,36.4,26.0,1.58 m/s,30.2
2026-03-24,14:27:33,ST,GS,+,10.7633,kg,0,121.7,0.955,116.2,8.574,00:02:18,1.712,80.0,3.1662,21.8,0.65 m/s,36.4,26.0,1.58 m/s,30.2
2026-03-24,14:27:34,ST,GS,+,10.7633,kg,0,121.7,0.955,116.2,8.574,00:02:19,1.712,80.0,3.1662,21.8,0.65 m/s,36.4,26.0,1.58 m/s,30.2
2026-03-24,14:27:35,ST,GS,+,12.5341,kg,0,121.2,1.533,185.8,9.09,00:02:20,2.421,113.1,3.5697,29.1,2.75 m/s,33.2,20.5,1.2 m/s,37.9
